filename,duration_sec,category,source,resolution,ground_truth_file
video_001_religion_and_spirituality.mp4,15.0,Religion & Spirituality,MSR-VTT / Synthesized Benchmark,1280x720,validation_dataset/ground_truth_annotations/video_001_religion_and_spirituality.json
video_002_religion_and_spirituality.mp4,15.0,Religion & Spirituality,MSR-VTT / Synthesized Benchmark,1280x720,validation_dataset/ground_truth_annotations/video_002_religion_and_spirituality.json
video_003_religion_and_spirituality.mp4,15.0,Religion & Spirituality,MSR-VTT / Synthesized Benchmark,1280x720,validation_dataset/ground_truth_annotations/video_003_religion_and_spirituality.json
video_004_religion_and_spirituality.mp4,15.0,Religion & Spirituality,MSR-VTT / Synthesized Benchmark,1280x720,validation_dataset/ground_truth_annotations/video_004_religion_and_spirituality.json
video_005_religion_and_spirituality.mp4,15.0,Religion & Spirituality,MSR-VTT / Synthesized Benchmark,1280x720,validation_dataset/ground_truth_annotations/video_005_religion_and_spirituality.json
video_006_religion_and_spirituality.mp4,15.0,Religion & Spirituality,MSR-VTT / Synthesized Benchmark,1280x720,validation_dataset/ground_truth_annotations/video_006_religion_and_spirituality.json
video_007_religion_and_spirituality.mp4,15.0,Religion & Spirituality,MSR-VTT / Synthesized Benchmark,1280x720,validation_dataset/ground_truth_annotations/video_007_religion_and_spirituality.json
video_008_religion_and_spirituality.mp4,15.0,Religion & Spirituality,MSR-VTT / Synthesized Benchmark,1280x720,validation_dataset/ground_truth_annotations/video_008_religion_and_spirituality.json
video_009_religion_and_spirituality.mp4,15.0,Religion & Spirituality,MSR-VTT / Synthesized Benchmark,1280x720,validation_dataset/ground_truth_annotations/video_009_religion_and_spirituality.json
video_010_religion_and_spirituality.mp4,15.0,Religion & Spirituality,MSR-VTT / Synthesized Benchmark,1280x720,validation_dataset/ground_truth_annotations/video_010_religion_and_spirituality.json
video_011_cooking_and_culinary_arts.mp4,15.0,Cooking & Culinary Arts,MSR-VTT / Synthesized Benchmark,1280x720,validation_dataset/ground_truth_annotations/video_011_cooking_and_culinary_arts.json
video_012_cooking_and_culinary_arts.mp4,15.0,Cooking & Culinary Arts,MSR-VTT / Synthesized Benchmark,1280x720,validation_dataset/ground_truth_annotations/video_012_cooking_and_culinary_arts.json
video_013_cooking_and_culinary_arts.mp4,15.0,Cooking & Culinary Arts,MSR-VTT / Synthesized Benchmark,1280x720,validation_dataset/ground_truth_annotations/video_013_cooking_and_culinary_arts.json
video_014_cooking_and_culinary_arts.mp4,15.0,Cooking & Culinary Arts,MSR-VTT / Synthesized Benchmark,1280x720,validation_dataset/ground_truth_annotations/video_014_cooking_and_culinary_arts.json
video_015_cooking_and_culinary_arts.mp4,15.0,Cooking & Culinary Arts,MSR-VTT / Synthesized Benchmark,1280x720,validation_dataset/ground_truth_annotations/video_015_cooking_and_culinary_arts.json
video_016_cooking_and_culinary_arts.mp4,15.0,Cooking & Culinary Arts,MSR-VTT / Synthesized Benchmark,1280x720,validation_dataset/ground_truth_annotations/video_016_cooking_and_culinary_arts.json
video_017_cooking_and_culinary_arts.mp4,15.0,Cooking & Culinary Arts,MSR-VTT / Synthesized Benchmark,1280x720,validation_dataset/ground_truth_annotations/video_017_cooking_and_culinary_arts.json
video_018_cooking_and_culinary_arts.mp4,15.0,Cooking & Culinary Arts,MSR-VTT / Synthesized Benchmark,1280x720,validation_dataset/ground_truth_annotations/video_018_cooking_and_culinary_arts.json
video_019_cooking_and_culinary_arts.mp4,15.0,Cooking & Culinary Arts,MSR-VTT / Synthesized Benchmark,1280x720,validation_dataset/ground_truth_annotations/video_019_cooking_and_culinary_arts.json
video_020_cooking_and_culinary_arts.mp4,15.0,Cooking & Culinary Arts,MSR-VTT / Synthesized Benchmark,1280x720,validation_dataset/ground_truth_annotations/video_020_cooking_and_culinary_arts.json
video_021_education_and_tutorials.mp4,15.0,Education & Tutorials,MSR-VTT / Synthesized Benchmark,1280x720,validation_dataset/ground_truth_annotations/video_021_education_and_tutorials.json
video_022_education_and_tutorials.mp4,15.0,Education & Tutorials,MSR-VTT / Synthesized Benchmark,1280x720,validation_dataset/ground_truth_annotations/video_022_education_and_tutorials.json
video_023_education_and_tutorials.mp4,15.0,Education & Tutorials,MSR-VTT / Synthesized Benchmark,1280x720,validation_dataset/ground_truth_annotations/video_023_education_and_tutorials.json
video_024_education_and_tutorials.mp4,15.0,Education & Tutorials,MSR-VTT / Synthesized Benchmark,1280x720,validation_dataset/ground_truth_annotations/video_024_education_and_tutorials.json
video_025_education_and_tutorials.mp4,15.0,Education & Tutorials,MSR-VTT / Synthesized Benchmark,1280x720,validation_dataset/ground_truth_annotations/video_025_education_and_tutorials.json
